Time (s),Voltage_A2 (V),Voltage_A1 (V)
0,2.229800156,3.423934971
2.050417423,2.218193981,3.420044271
4.098575115,2.208909068,3.417408637
6.148067713,2.204064775,3.41627908
8.197887897,2.200128792,3.415902561
10.24747896,2.205074002,3.41489851
12.29688001,2.193064219,3.414270979
14.34673619,2.199220489,3.413517941
16.39634037,2.196596504,3.411509841
18.44617486,2.196899271,3.410631298
20.49607682,2.192761451,3.410380285
22.54527402,2.163595005,3.40824668
24.59488702,2.164200534,3.407117125
26.64392948,2.153704707,3.406991619
28.69353962,2.138364709,3.4066151
30.74370718,2.128474481,3.406489594
32.79220867,2.125446866,3.405360039
34.84206963,2.114143793,3.404983521
36.89189553,2.11172171,3.404732508
38.94256759,2.097996607,3.404481496
40.99256253,2.098299366,3.403477448
43.04203415,2.087500976,3.403100929
45.09210014,2.083464203,3.402473399
47.14157224,2.080335708,3.402473399
49.19236088,2.08851017,3.401594857
51.2422483,2.082656849,3.401218339
53.2922709,2.080840304,3.400716315
55.34198236,2.076500781,3.398708219
57.39243126,2.074583319,3.397829677
59.44307041,2.067518995,3.397578665
61.49343801,2.059344581,3.393813488
63.54395533,2.050362839,3.392181912
65.59397697,2.045518763,3.391679889
67.64428806,2.037546235,3.390424831
69.69464636,2.032702176,3.386534152
71.7447958,2.028362713,3.383145499
73.79477692,2.024225089,3.377623252
75.84479904,2.021399398,3.363315638
77.89563179,2.002931544,3.343987861
79.94509888,2.011711331,3.33871666
81.99392843,2.009188402,3.333947481
84.04449534,2.007977396,3.327170234
86.09461784,1.997482031,3.326040694
88.14416647,2.00272971,3.325664181
90.194345,1.995160945,3.322777578
92.24400306,1.996775614,3.319263456
94.2933929,1.982041792,3.319263456
96.34104943,1.972555665,3.317129882
98.38755584,1.979821632,3.317129882
100.436904,1.979417967,3.316878874
102.4865577,1.967711695,3.315121814
104.5352335,1.949546866,3.314368788
106.584306,1.943391029,3.31323925
108.6337402,1.941473639,3.312988242
110.6840494,1.940060826,3.311356687
112.733501,1.948436796,3.310854671
114.7838833,1.939253505,3.309097613
116.8341677,1.941675469,3.3087211
118.8845153,1.93975808,3.308219084
120.9340315,1.936528796,3.306211018
122.9835398,1.92512541,3.305834506
125.0335,1.925024495,3.304579466
127.0833726,1.906859885,3.304453962
129.1328597,1.901511434,3.303826441
131.1953521,1.949042289,3.303073417
133.2433655,1.897273045,3.301065353
135.2923746,1.887888059,3.299559306
137.342258,1.882539636,3.297174732
139.3917444,1.879108577,3.296672716
141.4419391,1.875475695,3.296045197
143.4915733,1.869824552,3.292907601
145.5414736,1.866595331,3.291903571
147.5906844,1.862861549,3.291527059
149.6397493,1.865687114,3.291527059
151.6892939,1.860136899,3.291276052
153.7393699,1.86084329,3.291150548
155.7888994,1.862256071,3.291025044
157.838321,1.86720081,3.290774037
159.8876047,1.858925945,3.290397525
161.9368398,1.836725181,3.290021014
163.9860389,1.84641277,3.290021014
166.0332756,1.84681642,3.28989551
168.0840046,1.848330108,3.289644503
170.1348877,1.849238321,3.289267992
172.183784,1.833092342,3.289142488
